Model,mAP@0.5,mAP@0.5:0.95,Precision,Recall,FPS,Inference Time (ms),Model Size (MB),CPU Usage (%),RAM Usage (MB),GPU Memory (MB)
YOLOv5,0.991479327144846,0.8656406561856838,0.973924082525212,0.9661972249213692,49.066976130424,20.380306243896484,17.638307571411133,698.7,1578.0625,0
YOLOv8,0.994325738468458,0.9090937223052192,0.9862154645271904,0.983238543640293,46.144851767382555,21.670889854431152,85.35208415985107,698.1499999999999,1795.96875,0
